CustomerID,X,Y,Demand
0,0.5057699907278633,0.4705203025201431,0
1,0.7556261018671684,0.048142757736316266,6
2,0.45904718238153586,0.7808533155088101,3
3,0.6016427181341266,0.012150909240363439,9
4,0.5265656602658745,0.7504311004372705,1
5,0.9308542162602328,0.34414942251653624,6
6,0.7383647432412682,0.8416584083229837,1
7,0.72405361622705,0.29296228841299465,9
8,0.46677178481013837,0.06579487387978111,2
9,0.5670120718740742,0.8992671444294567,1
10,0.319504737424937,0.0483713175639936,5
11,0.8777683826043086,0.010287154077585514,7
12,0.1601876223228348,0.012423288361174345,8
13,0.2225297632521499,0.07976171221775652,6
14,0.47381311483412925,0.5405734687634676,1
15,0.039321661300264044,0.10010573632935815,1
16,0.26728250002252907,0.11058433533927725,7
17,0.017425617888909173,0.7415674704440502,2
18,0.7463411924375035,0.3969153384698948,1
19,0.3964088580616856,0.7301144052740743,8
